disease,symptom_1,symptom_2,symptom_3,symptom_4,symptom_5,symptom_6,symptom_7,symptom_8,symptom_9,symptom_10,symptom_11,symptom_12,symptom_13,symptom_14,symptom_15,symptom_16,symptom_17,temperature,recommendation,symptoms
Fungal infection,itching,skin_rash,nodal_skin_eruptions,dischromic _patches,,,,,,,,,,,,,,36.1-37.2°C / 97-99°F,"Keep the affected area clean and dry; use antifungal creams/powders as directed. Avoid tight or synthetic clothing, don't share towels or personal items, and see a doctor if the rash spreads or doesn't improve in 2 weeks.","itching,skin_rash,nodal_skin_eruptions,dischromic _patches"
Fungal infection,skin_rash,nodal_skin_eruptions,dischromic _patches,,,,,,,,,,,,,,,36.1-37.2°C / 97-99°F,"Keep the affected area clean and dry; use antifungal creams/powders as directed. Avoid tight or synthetic clothing, don't share towels or personal items, and see a doctor if the rash spreads or doesn't improve in 2 weeks.","skin_rash,nodal_skin_eruptions,dischromic _patches"
Fungal infection,itching,nodal_skin_eruptions,dischromic _patches,,,,,,,,,,,,,,,36.1-37.2°C / 97-99°F,"Keep the affected area clean and dry; use antifungal creams/powders as directed. Avoid tight or synthetic clothing, don't share towels or personal items, and see a doctor if the rash spreads or doesn't improve in 2 weeks.","itching,nodal_skin_eruptions,dischromic _patches"
Fungal infection,itching,skin_rash,dischromic _patches,,,,,,,,,,,,,,,36.1-37.2°C / 97-99°F,"Keep the affected area clean and dry; use antifungal creams/powders as directed. Avoid tight or synthetic clothing, don't share towels or personal items, and see a doctor if the rash spreads or doesn't improve in 2 weeks.","itching,skin_rash,dischromic _patches"
Fungal infection,itching,skin_rash,nodal_skin_eruptions,,,,,,,,,,,,,,,36.1-37.2°C / 97-99°F,"Keep the affected area clean and dry; use antifungal creams/powders as directed. Avoid tight or synthetic clothing, don't share towels or personal items, and see a doctor if the rash spreads or doesn't improve in 2 weeks.","itching,skin_rash,nodal_skin_eruptions"
Allergy,continuous_sneezing,shivering,chills,watering_from_eyes,,,,,,,,,,,,,,36.1-37.2°C / 97-99°F,"Identify and avoid the triggering allergen where possible. Antihistamines can ease sneezing, watering eyes, and chills. Seek urgent care if there is swelling of the face/throat or difficulty breathing (signs of a severe reaction).","continuous_sneezing,shivering,chills,watering_from_eyes"
Allergy,shivering,chills,watering_from_eyes,,,,,,,,,,,,,,,36.1-37.2°C / 97-99°F,"Identify and avoid the triggering allergen where possible. Antihistamines can ease sneezing, watering eyes, and chills. Seek urgent care if there is swelling of the face/throat or difficulty breathing (signs of a severe reaction).","shivering,chills,watering_from_eyes"
Allergy,continuous_sneezing,chills,watering_from_eyes,,,,,,,,,,,,,,,36.1-37.2°C / 97-99°F,"Identify and avoid the triggering allergen where possible. Antihistamines can ease sneezing, watering eyes, and chills. Seek urgent care if there is swelling of the face/throat or difficulty breathing (signs of a severe reaction).","continuous_sneezing,chills,watering_from_eyes"
Allergy,continuous_sneezing,shivering,watering_from_eyes,,,,,,,,,,,,,,,36.1-37.2°C / 97-99°F,"Identify and avoid the triggering allergen where possible. Antihistamines can ease sneezing, watering eyes, and chills. Seek urgent care if there is swelling of the face/throat or difficulty breathing (signs of a severe reaction).","continuous_sneezing,shivering,watering_from_eyes"
Allergy,continuous_sneezing,shivering,chills,,,,,,,,,,,,,,,36.1-37.2°C / 97-99°F,"Identify and avoid the triggering allergen where possible. Antihistamines can ease sneezing, watering eyes, and chills. Seek urgent care if there is swelling of the face/throat or difficulty breathing (signs of a severe reaction).","continuous_sneezing,shivering,chills"
GERD,stomach_pain,acidity,ulcers_on_tongue,vomiting,cough,chest_pain,,,,,,,,,,,,36.1-37.2°C / 97-99°F,"Eat smaller meals, avoid lying down right after eating, and cut back on spicy/fatty foods, caffeine, and alcohol. Elevate the head of the bed. See a doctor if symptoms persist despite lifestyle changes or if you have difficulty swallowing.","stomach_pain,acidity,ulcers_on_tongue,vomiting,cough,chest_pain"
GERD,stomach_pain,ulcers_on_tongue,vomiting,cough,chest_pain,,,,,,,,,,,,,36.1-37.2°C / 97-99°F,"Eat smaller meals, avoid lying down right after eating, and cut back on spicy/fatty foods, caffeine, and alcohol. Elevate the head of the bed. See a doctor if symptoms persist despite lifestyle changes or if you have difficulty swallowing.","stomach_pain,ulcers_on_tongue,vomiting,cough,chest_pain"
